Current_Step,DQN Loss,Zero_Vectors_Ratio,Cumulative_Accuracy,Action_1_Ratio
25,-1,0.00,100.0,1.00
46,-1,0.15,100.0,0.85
67,-1,1.00,0.0,0.00
88,-1,0.75,57.14285714285714,0.25
109,-1,0.00,100.0,1.00
130,-1,0.35,100.0,0.65
151,-1,1.00,100.0,0.00
172,-1,0.55,100.0,0.45
193,-1,0.00,100.0,1.00
214,-1,0.55,100.0,0.45
235,-1,1.00,100.0,0.00
256,-1,0.35,100.0,0.65
277,-1,0.00,100.0,1.00
298,-1,0.75,100.0,0.25
319,-1,1.00,100.0,0.00
340,-1,0.15,100.0,0.85
361,-1,0.00,100.0,1.00
382,-1,0.95,100.0,0.05
403,-1,1.00,100.0,0.00
424,-1,0.00,100.0,1.00
445,-1,0.10,100.0,0.90
466,-1,1.00,100.0,0.00
487,-1,0.80,100.0,0.20
508,-1,0.00,100.0,1.00
529,-1,0.30,100.0,0.70
550,-1,1.00,100.0,0.00
571,-1,0.60,100.0,0.40
592,-1,0.00,100.0,1.00
613,-1,0.50,100.0,0.50
634,-1,1.00,100.0,0.00
655,-1,0.40,100.0,0.60
676,-1,0.00,100.0,1.00
697,-1,0.70,100.0,0.30
718,-1,1.00,100.0,0.00
739,-1,0.20,100.0,0.80
760,-1,0.00,100.0,1.00
781,-1,0.90,100.0,0.10
802,-1,1.00,100.0,0.00
823,-1,0.00,100.0,1.00
844,-1,0.05,100.0,0.95
865,-1,1.00,100.0,0.00
886,-1,0.85,100.0,0.15
907,-1,0.00,100.0,1.00
928,-1,0.25,100.0,0.75
949,-1,1.00,100.0,0.00
970,-1,0.65,100.0,0.35
991,-1,0.00,100.0,1.00
1012,-1,0.45,100.0,0.55
1033,-1,1.00,100.0,0.00
1054,-1,0.45,100.0,0.55
1075,-1,0.00,100.0,1.00
1096,-1,0.65,100.0,0.35
1117,-1,1.00,100.0,0.00
1138,-1,0.25,100.0,0.75
1159,-1,0.00,100.0,1.00
1180,-1,0.85,100.0,0.15
1201,-1,1.00,100.0,0.00
1222,-1,0.05,100.0,0.95
1243,-1,0.00,100.0,1.00
1264,-1,1.00,100.0,0.00
1285,-1,0.90,100.0,0.10
1306,-1,0.00,100.0,1.00
1327,-1,0.20,100.0,0.80
1348,-1,1.00,52.38095238095239,0.00
1369,-1,0.70,42.857142857142854,0.30
1390,-1,0.00,100.0,1.00
1411,-1,0.40,71.42857142857143,0.60
1432,-1,1.00,0.0,0.00
1453,-1,0.50,42.857142857142854,0.50
1474,-1,0.00,100.0,1.00
1495,-1,0.60,61.904761904761905,0.40
1516,-1,1.00,0.0,0.00
1537,-1,0.30,57.14285714285714,0.70
1558,-1,0.00,100.0,1.00
1579,-1,0.80,100.0,0.20
1600,-1,1.00,100.0,0.00
1621,-1,0.10,85.71428571428571,0.90
1642,-1,0.00,90.47619047619048,1.00
1663,-1,1.00,100.0,0.00
1684,-1,0.95,100.0,0.05
1705,-1,0.00,100.0,1.00
1726,-1,0.15,100.0,0.85
1747,-1,1.00,100.0,0.00
1768,-1,0.75,100.0,0.25
1789,-1,0.00,100.0,1.00
1810,-1,0.35,100.0,0.65
1831,-1,1.00,100.0,0.00
1852,-1,0.55,100.0,0.45
1873,-1,0.00,100.0,1.00
1894,-1,0.55,100.0,0.45
1915,-1,1.00,100.0,0.00
1936,-1,0.35,100.0,0.65
1957,-1,0.00,100.0,1.00
1978,-1,0.75,100.0,0.25
1999,-1,1.00,100.0,0.00
2020,-1,0.15,100.0,0.85
2041,-1,0.00,100.0,1.00
2062,-1,0.95,100.0,0.05
2083,-1,1.00,100.0,0.00
2104,-1,0.00,100.0,1.00
2125,-1,0.10,100.0,0.90
2146,-1,1.00,100.0,0.00
2167,-1,0.80,100.0,0.20
2188,-1,0.00,100.0,1.00
2209,-1,0.30,100.0,0.70
2230,-1,1.00,100.0,0.00
2251,-1,0.60,100.0,0.40
2272,-1,0.00,100.0,1.00
2293,-1,0.50,100.0,0.50
2314,-1,1.00,100.0,0.00
2335,-1,0.40,100.0,0.60
2356,-1,0.00,100.0,1.00
2377,-1,0.70,100.0,0.30
2398,-1,1.00,100.0,0.00
2419,-1,0.20,100.0,0.80
2440,-1,0.00,100.0,1.00
2461,-1,0.90,100.0,0.10
2482,-1,1.00,57.14285714285714,0.00
2503,-1,0.00,95.23809523809523,1.00
2524,-1,0.05,100.0,0.95
2545,-1,1.00,33.33333333333333,0.00
2566,-1,0.85,0.0,0.15
2587,-1,0.00,100.0,1.00
2608,-1,0.25,100.0,0.75
2629,-1,1.00,61.904761904761905,0.00
2650,-1,0.65,71.42857142857143,0.35
2671,-1,0.00,100.0,1.00
2692,-1,0.45,90.47619047619048,0.55
2713,-1,1.00,85.71428571428571,0.00
2734,-1,0.45,100.0,0.55
2755,-1,0.00,100.0,1.00
2776,-1,0.65,100.0,0.35
2797,-1,1.00,100.0,0.00
2818,-1,0.25,100.0,0.75
2839,-1,0.00,100.0,1.00
2860,-1,0.85,100.0,0.15
2881,-1,1.00,100.0,0.00
2902,-1,0.05,100.0,0.95
2923,-1,0.00,100.0,1.00
2944,-1,1.00,100.0,0.00
2965,-1,0.90,100.0,0.10
2986,-1,0.00,100.0,1.00
3007,-1,0.20,100.0,0.80
3028,-1,1.00,100.0,0.00
3049,-1,0.70,100.0,0.30
3070,-1,0.00,100.0,1.00
3091,-1,0.40,100.0,0.60
3112,-1,1.00,100.0,0.00
3133,-1,0.50,100.0,0.50
3154,-1,0.00,100.0,1.00
3175,-1,0.60,100.0,0.40
3196,-1,1.00,100.0,0.00
3217,-1,0.30,100.0,0.70
3238,-1,0.00,100.0,1.00
3259,-1,0.80,100.0,0.20
3280,-1,1.00,100.0,0.00
3301,-1,0.10,100.0,0.90
3322,-1,0.00,100.0,1.00
3343,-1,1.00,100.0,0.00
3364,-1,0.95,100.0,0.05
3385,-1,0.00,100.0,1.00
3406,-1,0.15,100.0,0.85
3427,-1,1.00,100.0,0.00
3448,-1,0.75,100.0,0.25
3469,-1,0.00,100.0,1.00
3490,-1,0.35,100.0,0.65
3511,-1,1.00,100.0,0.00
3532,-1,0.55,100.0,0.45
3553,-1,0.00,100.0,1.00
3574,-1,0.55,100.0,0.45
3595,-1,1.00,100.0,0.00
3616,-1,0.35,100.0,0.65
3637,-1,0.00,100.0,1.00
3658,-1,0.75,100.0,0.25
3679,-1,1.00,100.0,0.00
3700,-1,0.15,100.0,0.85
3721,-1,0.00,100.0,1.00
3742,-1,0.95,100.0,0.05
3763,-1,1.00,100.0,0.00
3784,-1,0.00,100.0,1.00
3805,-1,0.10,100.0,0.90
3826,-1,1.00,47.61904761904761,0.00
3847,-1,0.80,19.047619047619047,0.20
3868,-1,0.00,100.0,1.00
3889,-1,0.30,90.47619047619048,0.70
3910,-1,1.00,100.0,0.00
3931,-1,0.60,100.0,0.40
3952,-1,0.00,100.0,1.00
3973,-1,0.50,100.0,0.50
3994,-1,1.00,100.0,0.00
4015,-1,0.40,100.0,0.60
4036,-1,0.00,100.0,1.00
4057,-1,0.70,100.0,0.30
4078,-1,1.00,100.0,0.00
4099,-1,0.20,100.0,0.80
4120,-1,0.00,100.0,1.00
4141,-1,0.90,100.0,0.10
4162,-1,1.00,100.0,0.00
4183,-1,0.00,100.0,1.00
4204,-1,0.05,100.0,0.95
4225,-1,1.00,100.0,0.00
4246,-1,0.85,100.0,0.15
4267,-1,0.00,100.0,1.00
4288,-1,0.25,100.0,0.75
4309,-1,1.00,100.0,0.00
4330,-1,0.65,100.0,0.35
4351,-1,0.00,100.0,1.00
4372,-1,0.45,100.0,0.55
4393,-1,1.00,100.0,0.00
4414,-1,0.45,100.0,0.55
4435,-1,0.00,100.0,1.00
4456,-1,0.65,100.0,0.35
4477,-1,1.00,100.0,0.00
4498,-1,0.25,100.0,0.75
4519,-1,0.00,100.0,1.00
4540,-1,0.85,100.0,0.15
4561,-1,1.00,100.0,0.00
4582,-1,0.05,100.0,0.95
4603,-1,0.00,100.0,1.00
4624,-1,1.00,100.0,0.00
4645,-1,0.90,100.0,0.10
4666,-1,0.00,100.0,1.00
4687,-1,0.20,100.0,0.80
4708,-1,1.00,100.0,0.00
4729,-1,0.70,100.0,0.30
4750,-1,0.00,95.23809523809523,1.00
4771,-1,0.40,85.71428571428571,0.60
4792,-1,1.00,100.0,0.00
4813,-1,0.50,100.0,0.50
4834,-1,0.00,100.0,1.00
4855,-1,0.60,100.0,0.40
4876,-1,1.00,100.0,0.00
4897,-1,0.30,76.19047619047619,0.70
4918,-1,0.00,90.47619047619048,1.00
4939,-1,0.80,100.0,0.20
4960,-1,1.00,100.0,0.00
4981,-1,0.10,100.0,0.90
5002,-1,0.00,100.0,1.00
5023,-1,1.00,100.0,0.00
5044,-1,0.95,100.0,0.05
5065,-1,0.00,100.0,1.00
5086,-1,0.15,76.19047619047619,0.85
5107,-1,1.00,100.0,0.00
5128,-1,0.75,100.0,0.25
5149,-1,0.00,100.0,1.00
5170,-1,0.35,100.0,0.65
5191,-1,1.00,100.0,0.00
5212,-1,0.55,100.0,0.45
5233,-1,0.00,100.0,1.00
5254,-1,0.55,100.0,0.45
5275,-1,1.00,100.0,0.00
5296,-1,0.35,100.0,0.65
5317,-1,0.00,100.0,1.00
5338,-1,0.75,100.0,0.25
5359,-1,1.00,100.0,0.00
5380,-1,0.15,100.0,0.85
5401,-1,0.00,100.0,1.00
5422,-1,0.95,100.0,0.05
5443,-1,1.00,100.0,0.00
5464,-1,0.00,100.0,1.00
5485,-1,0.10,100.0,0.90
5506,-1,1.00,100.0,0.00
5527,-1,0.80,100.0,0.20
5548,-1,0.00,100.0,1.00
5569,-1,0.30,100.0,0.70
5590,-1,1.00,100.0,0.00
5611,-1,0.60,100.0,0.40
5632,-1,0.00,100.0,1.00
5653,-1,0.50,100.0,0.50
5674,-1,1.00,100.0,0.00
5695,-1,0.40,100.0,0.60
5716,-1,0.00,100.0,1.00
5737,-1,0.70,100.0,0.30
5758,-1,1.00,85.71428571428571,0.00
5779,-1,0.20,71.42857142857143,0.80
5800,-1,0.00,100.0,1.00
5821,-1,0.90,23.809523809523807,0.10
5842,-1,1.00,66.66666666666666,0.00
5863,-1,0.00,100.0,1.00
5884,-1,0.05,100.0,0.95
5905,-1,1.00,100.0,0.00
5926,-1,0.85,100.0,0.15
5947,-1,0.00,100.0,1.00
5968,-1,0.25,100.0,0.75
5989,-1,1.00,100.0,0.00
6010,-1,0.65,100.0,0.35
6031,-1,0.00,100.0,1.00
6052,-1,0.45,95.23809523809523,0.55
6073,-1,1.00,80.95238095238095,0.00
6094,-1,0.45,47.61904761904761,0.55
6115,-1,0.00,100.0,1.00
6136,-1,0.65,100.0,0.35
6157,-1,1.00,100.0,0.00
6178,-1,0.25,100.0,0.75
6199,-1,0.00,100.0,1.00
6220,-1,0.85,100.0,0.15
6241,-1,1.00,100.0,0.00
6262,-1,0.05,100.0,0.95
6283,-1,0.00,100.0,1.00
6304,-1,1.00,100.0,0.00
6325,-1,0.90,100.0,0.10
6346,-1,0.00,100.0,1.00
6367,-1,0.20,100.0,0.80
6388,-1,1.00,100.0,0.00
6409,-1,0.70,100.0,0.30
6430,-1,0.00,100.0,1.00
6451,-1,0.40,100.0,0.60
6472,-1,1.00,100.0,0.00
6493,-1,0.50,100.0,0.50
6514,-1,0.00,100.0,1.00
6535,-1,0.60,100.0,0.40
6556,-1,1.00,100.0,0.00
6577,-1,0.30,100.0,0.70
6598,-1,0.00,100.0,1.00
6619,-1,0.80,100.0,0.20
6640,-1,1.00,100.0,0.00
6661,-1,0.10,100.0,0.90
6682,-1,0.00,100.0,1.00
6703,-1,1.00,100.0,0.00
6724,-1,0.95,100.0,0.05
6745,-1,0.00,100.0,1.00
6766,-1,0.15,100.0,0.85
6787,-1,1.00,100.0,0.00
6808,-1,0.75,100.0,0.25
6829,-1,0.00,100.0,1.00
6850,-1,0.35,100.0,0.65
6871,-1,1.00,100.0,0.00
6892,-1,0.55,100.0,0.45
6913,-1,0.00,100.0,1.00
6934,-1,0.55,100.0,0.45
6955,-1,1.00,66.66666666666666,0.00
6976,-1,0.35,42.857142857142854,0.65
6997,-1,0.00,100.0,1.00
7018,-1,0.75,33.33333333333333,0.25
7039,-1,1.00,85.71428571428571,0.00
7060,-1,0.15,100.0,0.85
7081,-1,0.00,100.0,1.00
7102,-1,0.95,100.0,0.05
7123,-1,1.00,100.0,0.00
7144,-1,0.00,100.0,1.00
7165,-1,0.10,100.0,0.90
7186,-1,1.00,100.0,0.00
7207,-1,0.80,100.0,0.20
7228,-1,0.00,100.0,1.00
7249,-1,0.30,100.0,0.70
7270,-1,1.00,100.0,0.00
7291,-1,0.60,100.0,0.40
7312,-1,0.00,100.0,1.00
7333,-1,0.50,100.0,0.50
7354,-1,1.00,100.0,0.00
7375,-1,0.40,100.0,0.60
7396,-1,0.00,100.0,1.00
7417,-1,0.70,100.0,0.30
7438,-1,1.00,100.0,0.00
7459,-1,0.20,100.0,0.80
7480,-1,0.00,100.0,1.00
7501,-1,0.90,100.0,0.10
7522,-1,1.00,100.0,0.00
7543,-1,0.00,100.0,1.00
7564,-1,0.05,100.0,0.95
7585,-1,1.00,100.0,0.00
7606,-1,0.85,100.0,0.15
7627,-1,0.00,100.0,1.00
7648,-1,0.25,100.0,0.75
7669,-1,1.00,100.0,0.00
7690,-1,0.65,100.0,0.35
7711,-1,0.00,100.0,1.00
7732,-1,0.45,100.0,0.55
7753,-1,1.00,100.0,0.00
7774,-1,0.45,100.0,0.55
7795,-1,0.00,100.0,1.00
7816,-1,0.65,100.0,0.35
7837,-1,1.00,100.0,0.00
7858,-1,0.25,100.0,0.75
7879,-1,0.00,100.0,1.00
7900,-1,0.85,42.857142857142854,0.15
7921,-1,1.00,4.761904761904762,0.00
7942,-1,0.05,80.95238095238095,0.95
7963,-1,0.00,90.47619047619048,1.00
7984,-1,1.00,100.0,0.00
8005,-1,0.90,100.0,0.10
8026,-1,0.00,100.0,1.00
8047,-1,0.20,100.0,0.80
8068,-1,1.00,100.0,0.00
8089,-1,0.70,100.0,0.30
8110,-1,0.00,100.0,1.00
8131,-1,0.40,95.23809523809523,0.60
8152,-1,1.00,100.0,0.00
8173,-1,0.50,100.0,0.50
8194,-1,0.00,100.0,1.00
8215,-1,0.60,100.0,0.40
8236,-1,1.00,100.0,0.00
8257,-1,0.30,100.0,0.70
8278,-1,0.00,100.0,1.00
8299,-1,0.80,100.0,0.20
8320,-1,1.00,100.0,0.00
8341,-1,0.10,100.0,0.90
8362,-1,0.00,100.0,1.00
8383,-1,1.00,100.0,0.00
8404,-1,0.95,100.0,0.05
8425,-1,0.00,100.0,1.00
8446,-1,0.15,100.0,0.85
8467,-1,1.00,100.0,0.00
8488,-1,0.75,100.0,0.25
8509,-1,0.00,100.0,1.00
8530,-1,0.35,100.0,0.65
8551,-1,1.00,100.0,0.00
8572,-1,0.55,100.0,0.45
8593,-1,0.00,100.0,1.00
8614,-1,0.55,100.0,0.45
8635,-1,1.00,100.0,0.00
8656,-1,0.35,100.0,0.65
8677,-1,0.00,100.0,1.00
8698,-1,0.75,100.0,0.25
8719,-1,1.00,100.0,0.00
8740,-1,0.15,100.0,0.85
8761,-1,0.00,100.0,1.00
8782,-1,0.95,100.0,0.05
8803,-1,1.00,57.14285714285714,0.00
8824,-1,0.00,95.23809523809523,1.00
8845,-1,0.10,100.0,0.90
8866,-1,1.00,66.66666666666666,0.00
8887,-1,0.80,100.0,0.20
8908,-1,0.00,100.0,1.00
8929,-1,0.30,90.47619047619048,0.70
8950,-1,1.00,71.42857142857143,0.00
8971,-1,0.60,66.66666666666666,0.40
8992,-1,0.00,100.0,1.00
9013,-1,0.50,100.0,0.50
9034,-1,1.00,19.047619047619047,0.00
9055,-1,0.40,100.0,0.60
9076,-1,0.00,100.0,1.00
9097,-1,0.70,71.42857142857143,0.30
9118,-1,1.00,0.0,0.00
9139,-1,0.20,71.42857142857143,0.80
9160,-1,0.00,100.0,1.00
9181,-1,0.90,28.57142857142857,0.10
9202,-1,1.00,100.0,0.00
9223,-1,0.00,100.0,1.00
9244,-1,0.05,100.0,0.95
9265,-1,1.00,9.523809523809524,0.00
9286,-1,0.85,9.523809523809524,0.15
9307,-1,0.00,100.0,1.00
9328,-1,0.25,85.71428571428571,0.75
9349,-1,1.00,52.38095238095239,0.00
9370,-1,0.65,100.0,0.35
9391,-1,0.00,100.0,1.00
9412,-1,0.45,71.42857142857143,0.55
9433,-1,1.00,0.0,0.00
9454,-1,0.45,71.42857142857143,0.55
9475,-1,0.00,66.66666666666666,1.00
