Current_Step,DQN Loss,Zero_Vectors_Ratio,Cumulative_Accuracy,Action_1_Ratio
25,-1,0.20,95.23809523809523,0.80
46,-1,0.25,100.0,0.75
67,-1,0.25,100.0,0.75
88,-1,0.15,85.71428571428571,0.85
109,-1,0.25,100.0,0.75
130,-1,0.20,100.0,0.80
151,-1,0.20,100.0,0.80
172,-1,0.25,100.0,0.75
193,-1,0.25,100.0,0.75
214,-1,0.40,100.0,0.60
235,-1,0.30,100.0,0.70
256,-1,0.40,100.0,0.60
277,-1,0.10,100.0,0.90
298,-1,0.40,100.0,0.60
319,-1,0.30,100.0,0.70
340,-1,0.15,100.0,0.85
361,-1,0.35,100.0,0.65
382,-1,0.30,100.0,0.70
403,-1,0.30,100.0,0.70
424,-1,0.25,100.0,0.75
445,-1,0.30,100.0,0.70
466,-1,0.50,100.0,0.50
487,-1,0.20,100.0,0.80
508,-1,0.35,100.0,0.65
529,-1,0.25,100.0,0.75
550,-1,0.25,100.0,0.75
571,-1,0.30,100.0,0.70
592,-1,0.20,100.0,0.80
613,-1,0.30,100.0,0.70
634,-1,0.30,100.0,0.70
655,-1,0.30,100.0,0.70
676,-1,0.45,100.0,0.55
697,-1,0.20,100.0,0.80
718,-1,0.20,100.0,0.80
739,-1,0.35,100.0,0.65
760,-1,0.25,100.0,0.75
781,-1,0.10,100.0,0.90
802,-1,0.20,100.0,0.80
823,-1,0.20,100.0,0.80
844,-1,0.25,100.0,0.75
865,-1,0.30,100.0,0.70
886,-1,0.20,100.0,0.80
907,-1,0.30,100.0,0.70
928,-1,0.35,100.0,0.65
949,-1,0.10,100.0,0.90
970,-1,0.15,100.0,0.85
991,-1,0.20,100.0,0.80
1012,-1,0.50,100.0,0.50
1033,-1,0.30,100.0,0.70
1054,-1,0.15,100.0,0.85
1075,-1,0.05,100.0,0.95
1096,-1,0.45,100.0,0.55
1117,-1,0.30,100.0,0.70
1138,-1,0.15,100.0,0.85
1159,-1,0.20,100.0,0.80
1180,-1,0.20,100.0,0.80
1201,-1,0.25,100.0,0.75
1222,-1,0.20,100.0,0.80
1243,-1,0.55,100.0,0.45
1264,-1,0.20,100.0,0.80
1285,-1,0.40,100.0,0.60
1306,-1,0.20,100.0,0.80
1327,-1,0.20,100.0,0.80
1348,-1,0.25,76.19047619047619,0.75
1369,-1,0.15,85.71428571428571,0.85
1390,-1,0.20,100.0,0.80
1411,-1,0.15,100.0,0.85
1432,-1,0.20,100.0,0.80
1453,-1,0.20,80.95238095238095,0.80
1474,-1,0.25,85.71428571428571,0.75
1495,-1,0.20,90.47619047619048,0.80
1516,-1,0.30,100.0,0.70
1537,-1,0.35,95.23809523809523,0.65
1558,-1,0.15,100.0,0.85
1579,-1,0.35,100.0,0.65
1600,-1,0.05,100.0,0.95
1621,-1,0.40,76.19047619047619,0.60
1642,-1,0.35,100.0,0.65
1663,-1,0.30,100.0,0.70
1684,-1,0.25,100.0,0.75
1705,-1,0.30,100.0,0.70
1726,-1,0.20,100.0,0.80
1747,-1,0.15,100.0,0.85
1768,-1,0.20,100.0,0.80
1789,-1,0.55,100.0,0.45
1810,-1,0.30,100.0,0.70
1831,-1,0.30,100.0,0.70
1852,-1,0.10,100.0,0.90
1873,-1,0.25,100.0,0.75
1894,-1,0.20,100.0,0.80
1915,-1,0.20,100.0,0.80
1936,-1,0.30,100.0,0.70
1957,-1,0.15,100.0,0.85
1978,-1,0.25,100.0,0.75
1999,-1,0.25,100.0,0.75
2020,-1,0.15,100.0,0.85
2041,-1,0.30,100.0,0.70
2062,-1,0.15,100.0,0.85
2083,-1,0.15,100.0,0.85
2104,-1,0.25,100.0,0.75
2125,-1,0.15,100.0,0.85
2146,-1,0.45,100.0,0.55
2167,-1,0.15,100.0,0.85
2188,-1,0.30,100.0,0.70
2209,-1,0.35,100.0,0.65
2230,-1,0.30,100.0,0.70
2251,-1,0.35,100.0,0.65
2272,-1,0.30,100.0,0.70
2293,-1,0.25,100.0,0.75
2314,-1,0.45,100.0,0.55
2335,-1,0.10,100.0,0.90
2356,-1,0.10,100.0,0.90
2377,-1,0.15,100.0,0.85
2398,-1,0.25,100.0,0.75
2419,-1,0.15,100.0,0.85
2440,-1,0.25,100.0,0.75
2461,-1,0.20,100.0,0.80
2482,-1,0.35,90.47619047619048,0.65
2503,-1,0.40,100.0,0.60
2524,-1,0.25,100.0,0.75
2545,-1,0.20,76.19047619047619,0.80
2566,-1,0.30,95.23809523809523,0.70
2587,-1,0.35,85.71428571428571,0.65
2608,-1,0.35,100.0,0.65
2629,-1,0.35,90.47619047619048,0.65
2650,-1,0.15,100.0,0.85
2671,-1,0.30,95.23809523809523,0.70
2692,-1,0.35,100.0,0.65
2713,-1,0.30,57.14285714285714,0.70
2734,-1,0.30,100.0,0.70
2755,-1,0.15,100.0,0.85
2776,-1,0.15,100.0,0.85
2797,-1,0.30,100.0,0.70
2818,-1,0.35,100.0,0.65
2839,-1,0.30,100.0,0.70
2860,-1,0.30,100.0,0.70
2881,-1,0.15,100.0,0.85
2902,-1,0.20,100.0,0.80
2923,-1,0.40,100.0,0.60
2944,-1,0.05,100.0,0.95
2965,-1,0.50,100.0,0.50
2986,-1,0.25,100.0,0.75
3007,-1,0.25,100.0,0.75
3028,-1,0.10,100.0,0.90
3049,-1,0.15,100.0,0.85
3070,-1,0.15,100.0,0.85
3091,-1,0.25,100.0,0.75
3112,-1,0.35,100.0,0.65
3133,-1,0.20,100.0,0.80
3154,-1,0.30,100.0,0.70
3175,-1,0.25,100.0,0.75
3196,-1,0.30,100.0,0.70
3217,-1,0.20,100.0,0.80
3238,-1,0.35,100.0,0.65
3259,-1,0.20,100.0,0.80
3280,-1,0.25,100.0,0.75
3301,-1,0.15,100.0,0.85
3322,-1,0.30,100.0,0.70
3343,-1,0.25,100.0,0.75
3364,-1,0.30,100.0,0.70
3385,-1,0.40,100.0,0.60
3406,-1,0.35,100.0,0.65
3427,-1,0.35,100.0,0.65
3448,-1,0.10,100.0,0.90
3469,-1,0.40,100.0,0.60
3490,-1,0.25,100.0,0.75
3511,-1,0.30,100.0,0.70
3532,-1,0.20,100.0,0.80
3553,-1,0.25,100.0,0.75
3574,-1,0.15,100.0,0.85
3595,-1,0.20,100.0,0.80
3616,-1,0.15,100.0,0.85
3637,-1,0.50,100.0,0.50
3658,-1,0.10,100.0,0.90
3679,-1,0.20,100.0,0.80
3700,-1,0.25,100.0,0.75
3721,-1,0.30,100.0,0.70
3742,-1,0.15,100.0,0.85
3763,-1,0.40,100.0,0.60
3784,-1,0.45,100.0,0.55
3805,-1,0.15,100.0,0.85
3826,-1,0.30,90.47619047619048,0.70
3847,-1,0.15,90.47619047619048,0.85
3868,-1,0.25,61.904761904761905,0.75
3889,-1,0.20,76.19047619047619,0.80
3910,-1,0.30,95.23809523809523,0.70
3931,-1,0.45,100.0,0.55
