Current_Step,DQN Loss,Zero_Vectors_Ratio,Cumulative_Accuracy,Action_1_Ratio
25,-1,0.40,85.71428571428571,0.60
46,-1,0.65,95.23809523809523,0.35
67,-1,0.50,100.0,0.50
88,-1,0.55,100.0,0.45
109,-1,0.50,100.0,0.50
130,-1,0.75,100.0,0.25
151,-1,0.40,100.0,0.60
172,-1,0.55,100.0,0.45
193,-1,0.40,100.0,0.60
214,-1,0.50,100.0,0.50
235,-1,0.70,100.0,0.30
256,-1,0.40,100.0,0.60
277,-1,0.60,100.0,0.40
298,-1,0.55,100.0,0.45
319,-1,0.70,100.0,0.30
340,-1,0.45,100.0,0.55
361,-1,0.45,100.0,0.55
382,-1,0.45,100.0,0.55
403,-1,0.50,100.0,0.50
424,-1,0.65,100.0,0.35
445,-1,0.60,100.0,0.40
466,-1,0.40,100.0,0.60
487,-1,0.50,100.0,0.50
508,-1,0.45,100.0,0.55
529,-1,0.60,100.0,0.40
550,-1,0.55,100.0,0.45
571,-1,0.60,100.0,0.40
592,-1,0.60,100.0,0.40
613,-1,0.55,100.0,0.45
634,-1,0.55,100.0,0.45
655,-1,0.60,100.0,0.40
676,-1,0.45,100.0,0.55
697,-1,0.55,100.0,0.45
718,-1,0.60,100.0,0.40
739,-1,0.40,100.0,0.60
760,-1,0.45,100.0,0.55
781,-1,0.50,100.0,0.50
802,-1,0.75,100.0,0.25
823,-1,0.40,100.0,0.60
844,-1,0.45,100.0,0.55
865,-1,0.55,100.0,0.45
886,-1,0.45,100.0,0.55
907,-1,0.55,100.0,0.45
928,-1,0.60,100.0,0.40
949,-1,0.40,100.0,0.60
970,-1,0.55,100.0,0.45
991,-1,0.40,100.0,0.60
1012,-1,0.35,100.0,0.65
1033,-1,0.35,100.0,0.65
1054,-1,0.60,100.0,0.40
1075,-1,0.65,100.0,0.35
1096,-1,0.70,100.0,0.30
1117,-1,0.55,100.0,0.45
1138,-1,0.50,100.0,0.50
1159,-1,0.25,100.0,0.75
1180,-1,0.55,100.0,0.45
1201,-1,0.40,100.0,0.60
1222,-1,0.50,100.0,0.50
1243,-1,0.50,100.0,0.50
1264,-1,0.45,100.0,0.55
1285,-1,0.70,100.0,0.30
1306,-1,0.35,100.0,0.65
1327,-1,0.60,100.0,0.40
1348,-1,0.40,66.66666666666666,0.60
1369,-1,0.45,61.904761904761905,0.55
1390,-1,0.45,100.0,0.55
1411,-1,0.50,61.904761904761905,0.50
1432,-1,0.30,100.0,0.70
1453,-1,0.60,47.61904761904761,0.40
1474,-1,0.35,95.23809523809523,0.65
1495,-1,0.30,95.23809523809523,0.70
1516,-1,0.55,61.904761904761905,0.45
1537,-1,0.50,57.14285714285714,0.50
1558,-1,0.70,95.23809523809523,0.30
1579,-1,0.55,100.0,0.45
1600,-1,0.65,100.0,0.35
1621,-1,0.55,76.19047619047619,0.45
1642,-1,0.45,100.0,0.55
1663,-1,0.55,100.0,0.45
1684,-1,0.20,100.0,0.80
1705,-1,0.55,100.0,0.45
1726,-1,0.55,100.0,0.45
1747,-1,0.55,100.0,0.45
1768,-1,0.70,100.0,0.30
1789,-1,0.60,100.0,0.40
1810,-1,0.65,100.0,0.35
1831,-1,0.40,100.0,0.60
1852,-1,0.40,100.0,0.60
1873,-1,0.45,100.0,0.55
1894,-1,0.55,100.0,0.45
1915,-1,0.55,100.0,0.45
1936,-1,0.60,100.0,0.40
1957,-1,0.70,100.0,0.30
1978,-1,0.50,100.0,0.50
1999,-1,0.35,100.0,0.65
2020,-1,0.65,100.0,0.35
2041,-1,0.50,100.0,0.50
2062,-1,0.60,100.0,0.40
2083,-1,0.65,100.0,0.35
2104,-1,0.65,100.0,0.35
2125,-1,0.65,100.0,0.35
2146,-1,0.35,100.0,0.65
2167,-1,0.65,100.0,0.35
2188,-1,0.45,100.0,0.55
2209,-1,0.60,100.0,0.40
2230,-1,0.50,100.0,0.50
2251,-1,0.55,100.0,0.45
2272,-1,0.50,100.0,0.50
2293,-1,0.55,100.0,0.45
2314,-1,0.65,100.0,0.35
2335,-1,0.65,100.0,0.35
2356,-1,0.70,100.0,0.30
2377,-1,0.35,100.0,0.65
2398,-1,0.60,100.0,0.40
2419,-1,0.50,100.0,0.50
2440,-1,0.50,100.0,0.50
2461,-1,0.50,100.0,0.50
2482,-1,0.60,57.14285714285714,0.40
2503,-1,0.40,95.23809523809523,0.60
2524,-1,0.45,100.0,0.55
2545,-1,0.40,85.71428571428571,0.60
2566,-1,0.40,57.14285714285714,0.60
2587,-1,0.65,90.47619047619048,0.35
2608,-1,0.45,95.23809523809523,0.55
2629,-1,0.45,76.19047619047619,0.55
2650,-1,0.60,71.42857142857143,0.40
2671,-1,0.50,90.47619047619048,0.50
2692,-1,0.60,100.0,0.40
2713,-1,0.60,66.66666666666666,0.40
2734,-1,0.65,100.0,0.35
2755,-1,0.30,100.0,0.70
2776,-1,0.80,100.0,0.20
2797,-1,0.45,100.0,0.55
2818,-1,0.55,100.0,0.45
2839,-1,0.45,100.0,0.55
2860,-1,0.40,100.0,0.60
2881,-1,0.40,100.0,0.60
2902,-1,0.40,100.0,0.60
2923,-1,0.55,100.0,0.45
2944,-1,0.60,100.0,0.40
2965,-1,0.50,100.0,0.50
2986,-1,0.35,100.0,0.65
3007,-1,0.50,100.0,0.50
3028,-1,0.55,100.0,0.45
3049,-1,0.40,100.0,0.60
3070,-1,0.55,100.0,0.45
3091,-1,0.45,100.0,0.55
3112,-1,0.45,100.0,0.55
3133,-1,0.45,100.0,0.55
3154,-1,0.45,100.0,0.55
3175,-1,0.50,100.0,0.50
3196,-1,0.55,100.0,0.45
3217,-1,0.75,100.0,0.25
3238,-1,0.60,100.0,0.40
3259,-1,0.45,100.0,0.55
3280,-1,0.45,100.0,0.55
3301,-1,0.50,100.0,0.50
3322,-1,0.55,100.0,0.45
3343,-1,0.45,100.0,0.55
3364,-1,0.35,100.0,0.65
3385,-1,0.40,100.0,0.60
3406,-1,0.40,100.0,0.60
3427,-1,0.50,100.0,0.50
3448,-1,0.45,100.0,0.55
3469,-1,0.60,100.0,0.40
3490,-1,0.60,100.0,0.40
3511,-1,0.45,100.0,0.55
3532,-1,0.55,100.0,0.45
3553,-1,0.30,100.0,0.70
3574,-1,0.45,100.0,0.55
3595,-1,0.50,100.0,0.50
3616,-1,0.60,100.0,0.40
3637,-1,0.55,100.0,0.45
3658,-1,0.45,100.0,0.55
3679,-1,0.45,100.0,0.55
3700,-1,0.55,100.0,0.45
3721,-1,0.50,100.0,0.50
3742,-1,0.55,100.0,0.45
3763,-1,0.65,100.0,0.35
3784,-1,0.40,100.0,0.60
3805,-1,0.45,100.0,0.55
3826,-1,0.55,76.19047619047619,0.45
3847,-1,0.35,95.23809523809523,0.65
3868,-1,0.40,52.38095238095239,0.60
3889,-1,0.55,71.42857142857143,0.45
3910,-1,0.50,95.23809523809523,0.50
3931,-1,0.60,100.0,0.40
3952,-1,0.35,100.0,0.65
3973,-1,0.70,100.0,0.30
3994,-1,0.45,100.0,0.55
4015,-1,0.60,100.0,0.40
4036,-1,0.35,100.0,0.65
4057,-1,0.30,100.0,0.70
4078,-1,0.50,100.0,0.50
4099,-1,0.25,100.0,0.75
4120,-1,0.35,100.0,0.65
4141,-1,0.65,100.0,0.35
4162,-1,0.35,100.0,0.65
4183,-1,0.65,100.0,0.35
4204,-1,0.60,100.0,0.40
4225,-1,0.35,100.0,0.65
4246,-1,0.35,100.0,0.65
4267,-1,0.60,100.0,0.40
4288,-1,0.60,100.0,0.40
4309,-1,0.60,100.0,0.40
4330,-1,0.55,100.0,0.45
4351,-1,0.55,100.0,0.45
4372,-1,0.50,100.0,0.50
4393,-1,0.60,100.0,0.40
4414,-1,0.45,100.0,0.55
4435,-1,0.60,100.0,0.40
4456,-1,0.45,100.0,0.55
4477,-1,0.50,100.0,0.50
4498,-1,0.35,100.0,0.65
4519,-1,0.45,100.0,0.55
4540,-1,0.50,100.0,0.50
4561,-1,0.45,100.0,0.55
4582,-1,0.60,100.0,0.40
4603,-1,0.55,100.0,0.45
4624,-1,0.50,100.0,0.50
4645,-1,0.45,100.0,0.55
4666,-1,0.45,100.0,0.55
4687,-1,0.40,100.0,0.60
4708,-1,0.35,100.0,0.65
4729,-1,0.60,100.0,0.40
4750,-1,0.60,85.71428571428571,0.40
4771,-1,0.50,80.95238095238095,0.50
4792,-1,0.55,100.0,0.45
4813,-1,0.35,100.0,0.65
4834,-1,0.40,100.0,0.60
4855,-1,0.55,71.42857142857143,0.45
4876,-1,0.40,100.0,0.60
4897,-1,0.45,80.95238095238095,0.55
4918,-1,0.50,95.23809523809523,0.50
4939,-1,0.50,100.0,0.50
4960,-1,0.65,100.0,0.35
4981,-1,0.15,100.0,0.85
5002,-1,0.60,100.0,0.40
5023,-1,0.45,100.0,0.55
5044,-1,0.50,100.0,0.50
5065,-1,0.55,100.0,0.45
5086,-1,0.60,100.0,0.40
5107,-1,0.55,100.0,0.45
5128,-1,0.50,100.0,0.50
5149,-1,0.40,100.0,0.60
5170,-1,0.40,100.0,0.60
5191,-1,0.65,100.0,0.35
5212,-1,0.55,100.0,0.45
5233,-1,0.45,100.0,0.55
5254,-1,0.60,100.0,0.40
5275,-1,0.70,100.0,0.30
5296,-1,0.40,100.0,0.60
5317,-1,0.55,100.0,0.45
5338,-1,0.45,100.0,0.55
5359,-1,0.60,100.0,0.40
5380,-1,0.55,100.0,0.45
5401,-1,0.40,100.0,0.60
5422,-1,0.40,100.0,0.60
5443,-1,0.45,100.0,0.55
5464,-1,0.55,100.0,0.45
5485,-1,0.45,100.0,0.55
5506,-1,0.45,100.0,0.55
5527,-1,0.55,100.0,0.45
5548,-1,0.45,100.0,0.55
5569,-1,0.45,100.0,0.55
5590,-1,0.55,100.0,0.45
5611,-1,0.45,100.0,0.55
5632,-1,0.35,100.0,0.65
5653,-1,0.70,100.0,0.30
5674,-1,0.60,100.0,0.40
5695,-1,0.45,100.0,0.55
5716,-1,0.45,100.0,0.55
5737,-1,0.55,100.0,0.45
5758,-1,0.55,85.71428571428571,0.45
5779,-1,0.60,80.95238095238095,0.40
5800,-1,0.70,38.095238095238095,0.30
5821,-1,0.55,47.61904761904761,0.45
5842,-1,0.30,33.33333333333333,0.70
5863,-1,0.55,100.0,0.45
5884,-1,0.65,100.0,0.35
5905,-1,0.45,100.0,0.55
5926,-1,0.30,100.0,0.70
5947,-1,0.60,100.0,0.40
5968,-1,0.40,100.0,0.60
5989,-1,0.50,100.0,0.50
6010,-1,0.45,100.0,0.55
6031,-1,0.60,100.0,0.40
6052,-1,0.50,95.23809523809523,0.50
6073,-1,0.65,85.71428571428571,0.35
6094,-1,0.70,52.38095238095239,0.30
6115,-1,0.45,47.61904761904761,0.55
6136,-1,0.65,71.42857142857143,0.35
6157,-1,0.60,100.0,0.40
6178,-1,0.55,100.0,0.45
6199,-1,0.25,100.0,0.75
6220,-1,0.70,100.0,0.30
6241,-1,0.65,100.0,0.35
6262,-1,0.55,100.0,0.45
6283,-1,0.30,100.0,0.70
6304,-1,0.60,100.0,0.40
6325,-1,0.60,100.0,0.40
6346,-1,0.45,100.0,0.55
6367,-1,0.55,100.0,0.45
6388,-1,0.60,100.0,0.40
6409,-1,0.50,100.0,0.50
6430,-1,0.45,100.0,0.55
6451,-1,0.60,100.0,0.40
6472,-1,0.65,100.0,0.35
6493,-1,0.35,100.0,0.65
6514,-1,0.50,100.0,0.50
6535,-1,0.65,100.0,0.35
6556,-1,0.30,100.0,0.70
6577,-1,0.35,100.0,0.65
6598,-1,0.50,100.0,0.50
6619,-1,0.45,100.0,0.55
6640,-1,0.45,100.0,0.55
6661,-1,0.25,100.0,0.75
6682,-1,0.45,100.0,0.55
6703,-1,0.30,100.0,0.70
6724,-1,0.50,100.0,0.50
6745,-1,0.55,100.0,0.45
6766,-1,0.50,100.0,0.50
6787,-1,0.40,100.0,0.60
6808,-1,0.60,100.0,0.40
6829,-1,0.50,100.0,0.50
6850,-1,0.35,100.0,0.65
6871,-1,0.50,100.0,0.50
6892,-1,0.70,100.0,0.30
6913,-1,0.30,100.0,0.70
6934,-1,0.55,100.0,0.45
6955,-1,0.40,76.19047619047619,0.60
6976,-1,0.55,9.523809523809524,0.45
6997,-1,0.45,33.33333333333333,0.55
7018,-1,0.45,71.42857142857143,0.55
7039,-1,0.60,80.95238095238095,0.40
7060,-1,0.50,100.0,0.50
7081,-1,0.45,100.0,0.55
7102,-1,0.50,100.0,0.50
7123,-1,0.45,100.0,0.55
7144,-1,0.70,100.0,0.30
7165,-1,0.35,100.0,0.65
7186,-1,0.60,100.0,0.40
7207,-1,0.40,100.0,0.60
7228,-1,0.60,100.0,0.40
7249,-1,0.50,100.0,0.50
7270,-1,0.45,100.0,0.55
7291,-1,0.45,100.0,0.55
7312,-1,0.40,100.0,0.60
7333,-1,0.45,100.0,0.55
7354,-1,0.40,100.0,0.60
7375,-1,0.60,100.0,0.40
7396,-1,0.25,100.0,0.75
7417,-1,0.40,100.0,0.60
7438,-1,0.55,100.0,0.45
7459,-1,0.50,100.0,0.50
7480,-1,0.45,100.0,0.55
7501,-1,0.50,100.0,0.50
7522,-1,0.50,100.0,0.50
7543,-1,0.50,100.0,0.50
7564,-1,0.30,100.0,0.70
7585,-1,0.40,100.0,0.60
7606,-1,0.70,100.0,0.30
7627,-1,0.45,100.0,0.55
7648,-1,0.45,100.0,0.55
7669,-1,0.40,100.0,0.60
7690,-1,0.70,100.0,0.30
7711,-1,0.25,100.0,0.75
7732,-1,0.55,100.0,0.45
7753,-1,0.25,100.0,0.75
7774,-1,0.55,100.0,0.45
7795,-1,0.55,100.0,0.45
7816,-1,0.55,100.0,0.45
7837,-1,0.40,100.0,0.60
7858,-1,0.70,100.0,0.30
7879,-1,0.55,100.0,0.45
7900,-1,0.50,61.904761904761905,0.50
7921,-1,0.55,14.285714285714285,0.45
7942,-1,0.55,71.42857142857143,0.45
7963,-1,0.35,90.47619047619048,0.65
7984,-1,0.60,100.0,0.40
8005,-1,0.35,100.0,0.65
8026,-1,0.60,100.0,0.40
8047,-1,0.65,100.0,0.35
8068,-1,0.45,100.0,0.55
8089,-1,0.50,100.0,0.50
8110,-1,0.50,100.0,0.50
8131,-1,0.35,100.0,0.65
8152,-1,0.50,100.0,0.50
8173,-1,0.60,100.0,0.40
8194,-1,0.75,100.0,0.25
8215,-1,0.45,100.0,0.55
8236,-1,0.65,100.0,0.35
8257,-1,0.45,100.0,0.55
8278,-1,0.35,100.0,0.65
8299,-1,0.40,100.0,0.60
8320,-1,0.55,100.0,0.45
8341,-1,0.45,100.0,0.55
8362,-1,0.60,100.0,0.40
8383,-1,0.50,100.0,0.50
8404,-1,0.50,100.0,0.50
8425,-1,0.35,100.0,0.65
8446,-1,0.50,100.0,0.50
8467,-1,0.60,100.0,0.40
8488,-1,0.30,100.0,0.70
8509,-1,0.60,100.0,0.40
8530,-1,0.55,100.0,0.45
8551,-1,0.60,100.0,0.40
8572,-1,0.50,100.0,0.50
8593,-1,0.45,100.0,0.55
8614,-1,0.55,100.0,0.45
8635,-1,0.60,100.0,0.40
8656,-1,0.60,100.0,0.40
8677,-1,0.60,100.0,0.40
8698,-1,0.55,100.0,0.45
8719,-1,0.45,100.0,0.55
8740,-1,0.45,100.0,0.55
8761,-1,0.50,100.0,0.50
8782,-1,0.45,100.0,0.55
8803,-1,0.80,80.95238095238095,0.20
8824,-1,0.45,76.19047619047619,0.55
8845,-1,0.65,76.19047619047619,0.35
8866,-1,0.30,100.0,0.70
8887,-1,0.50,100.0,0.50
8908,-1,0.75,61.904761904761905,0.25
8929,-1,0.50,95.23809523809523,0.50
8950,-1,0.55,100.0,0.45
8971,-1,0.55,95.23809523809523,0.45
8992,-1,0.55,100.0,0.45
9013,-1,0.55,100.0,0.45
9034,-1,0.45,90.47619047619048,0.55
9055,-1,0.60,100.0,0.40
9076,-1,0.30,95.23809523809523,0.70
9097,-1,0.35,100.0,0.65
9118,-1,0.20,100.0,0.80
9139,-1,0.55,90.47619047619048,0.45
9160,-1,0.55,61.904761904761905,0.45
9181,-1,0.50,80.95238095238095,0.50
9202,-1,0.55,100.0,0.45
9223,-1,0.40,100.0,0.60
9244,-1,0.50,90.47619047619048,0.50
9265,-1,0.45,100.0,0.55
9286,-1,0.55,80.95238095238095,0.45
9307,-1,0.55,71.42857142857143,0.45
9328,-1,0.50,95.23809523809523,0.50
9349,-1,0.50,100.0,0.50
9370,-1,0.75,100.0,0.25
9391,-1,0.50,100.0,0.50
9412,-1,0.60,57.14285714285714,0.40
9433,-1,0.70,61.904761904761905,0.30
9454,-1,0.60,100.0,0.40
9475,-1,0.30,52.38095238095239,0.70
