Current_Step,DQN Loss,Zero_Vectors_Ratio,Cumulative_Accuracy,Action_1_Ratio
3637,-1,0.80,100.0,0.20
3658,-1,0.80,100.0,0.20
3679,-1,0.70,100.0,0.30
3700,-1,0.80,100.0,0.20
3721,-1,0.80,100.0,0.20
3742,-1,0.70,100.0,0.30
3763,-1,0.85,100.0,0.15
3784,-1,0.75,100.0,0.25
3805,-1,0.70,100.0,0.30
3826,-1,0.80,47.61904761904761,0.20
3847,-1,0.65,33.33333333333333,0.35
3868,-1,0.80,19.047619047619047,0.20
3889,-1,0.70,71.42857142857143,0.30
3910,-1,0.75,100.0,0.25
3931,-1,0.70,100.0,0.30
3952,-1,0.80,100.0,0.20
3973,-1,0.85,100.0,0.15
3994,-1,0.70,100.0,0.30
4015,-1,0.65,100.0,0.35
4036,-1,0.85,100.0,0.15
4057,-1,0.55,100.0,0.45
4078,-1,0.75,100.0,0.25
4099,-1,0.75,100.0,0.25
4120,-1,0.85,100.0,0.15
4141,-1,0.70,100.0,0.30
4162,-1,0.80,100.0,0.20
4183,-1,0.60,100.0,0.40
4204,-1,0.80,100.0,0.20
4225,-1,0.80,100.0,0.20
4246,-1,0.60,100.0,0.40
4267,-1,0.75,100.0,0.25
4288,-1,0.65,100.0,0.35
4309,-1,0.75,100.0,0.25
4330,-1,0.75,100.0,0.25
4351,-1,0.80,100.0,0.20
4372,-1,0.70,100.0,0.30
4393,-1,0.75,100.0,0.25
4414,-1,0.80,100.0,0.20
4435,-1,0.65,100.0,0.35
4456,-1,0.70,100.0,0.30
4477,-1,0.80,100.0,0.20
4498,-1,0.70,100.0,0.30
4519,-1,0.80,100.0,0.20
4540,-1,0.70,100.0,0.30
4561,-1,0.70,100.0,0.30
4582,-1,0.70,100.0,0.30
4603,-1,0.50,100.0,0.50
4624,-1,0.70,100.0,0.30
4645,-1,0.85,100.0,0.15
4666,-1,0.70,100.0,0.30
4687,-1,0.75,100.0,0.25
4708,-1,0.85,100.0,0.15
4729,-1,0.85,100.0,0.15
4750,-1,0.60,95.23809523809523,0.40
4771,-1,0.85,42.857142857142854,0.15
4792,-1,0.75,100.0,0.25
4813,-1,0.60,80.95238095238095,0.40
4834,-1,0.75,52.38095238095239,0.25
4855,-1,0.70,61.904761904761905,0.30
4876,-1,0.80,100.0,0.20
4897,-1,0.95,90.47619047619048,0.05
4918,-1,0.80,100.0,0.20
4939,-1,0.85,100.0,0.15
4960,-1,0.80,100.0,0.20
4981,-1,0.75,100.0,0.25
5002,-1,0.80,100.0,0.20
5023,-1,0.65,100.0,0.35
5044,-1,0.55,100.0,0.45
5065,-1,0.55,100.0,0.45
5086,-1,0.75,100.0,0.25
5107,-1,0.55,100.0,0.45
5128,-1,0.85,100.0,0.15
5149,-1,0.90,100.0,0.10
5170,-1,0.55,100.0,0.45
5191,-1,0.60,100.0,0.40
5212,-1,0.65,100.0,0.35
5233,-1,0.75,100.0,0.25
5254,-1,0.95,100.0,0.05
5275,-1,0.80,100.0,0.20
5296,-1,0.75,100.0,0.25
5317,-1,0.80,100.0,0.20
5338,-1,0.80,100.0,0.20
5359,-1,0.60,100.0,0.40
5380,-1,0.80,100.0,0.20
5401,-1,0.85,100.0,0.15
5422,-1,0.80,100.0,0.20
5443,-1,0.75,100.0,0.25
5464,-1,0.60,100.0,0.40
5485,-1,0.90,100.0,0.10
5506,-1,0.80,100.0,0.20
5527,-1,0.70,100.0,0.30
5548,-1,0.80,100.0,0.20
5569,-1,0.65,100.0,0.35
5590,-1,0.70,100.0,0.30
5611,-1,0.75,100.0,0.25
5632,-1,0.80,100.0,0.20
5653,-1,0.75,100.0,0.25
5674,-1,0.55,100.0,0.45
5695,-1,0.70,100.0,0.30
5716,-1,0.65,100.0,0.35
5737,-1,0.50,100.0,0.50
5758,-1,0.75,90.47619047619048,0.25
5779,-1,0.80,9.523809523809524,0.20
5800,-1,0.70,14.285714285714285,0.30
5821,-1,0.85,33.33333333333333,0.15
5842,-1,0.55,47.61904761904761,0.45
5863,-1,0.65,100.0,0.35
5884,-1,0.85,100.0,0.15
5905,-1,0.70,100.0,0.30
5926,-1,0.90,100.0,0.10
5947,-1,0.70,100.0,0.30
5968,-1,0.80,100.0,0.20
5989,-1,0.70,100.0,0.30
6010,-1,0.65,100.0,0.35
6031,-1,0.60,100.0,0.40
6052,-1,0.65,95.23809523809523,0.35
6073,-1,0.85,80.95238095238095,0.15
6094,-1,0.80,4.761904761904762,0.20
6115,-1,0.80,9.523809523809524,0.20
6136,-1,0.80,61.904761904761905,0.20
6157,-1,0.85,100.0,0.15
6178,-1,0.75,100.0,0.25
6199,-1,0.60,100.0,0.40
6220,-1,0.70,100.0,0.30
6241,-1,0.80,100.0,0.20
6262,-1,0.75,100.0,0.25
6283,-1,0.65,100.0,0.35
6304,-1,0.65,100.0,0.35
6325,-1,0.90,100.0,0.10
6346,-1,0.90,100.0,0.10
6367,-1,0.80,100.0,0.20
6388,-1,0.75,100.0,0.25
6409,-1,0.80,100.0,0.20
6430,-1,0.95,100.0,0.05
6451,-1,0.80,100.0,0.20
6472,-1,0.85,100.0,0.15
6493,-1,0.70,100.0,0.30
6514,-1,0.75,100.0,0.25
6535,-1,0.80,100.0,0.20
6556,-1,0.75,100.0,0.25
6577,-1,0.65,100.0,0.35
6598,-1,0.65,100.0,0.35
6619,-1,0.70,100.0,0.30
6640,-1,0.75,100.0,0.25
6661,-1,0.70,100.0,0.30
6682,-1,0.85,100.0,0.15
6703,-1,0.80,100.0,0.20
6724,-1,0.65,100.0,0.35
6745,-1,0.85,100.0,0.15
6766,-1,0.75,100.0,0.25
6787,-1,0.60,100.0,0.40
6808,-1,0.80,100.0,0.20
6829,-1,0.75,100.0,0.25
6850,-1,0.80,100.0,0.20
6871,-1,0.80,100.0,0.20
6892,-1,0.80,100.0,0.20
6913,-1,0.85,100.0,0.15
6934,-1,0.80,100.0,0.20
6955,-1,0.65,71.42857142857143,0.35
6976,-1,0.70,0.0,0.30
6997,-1,0.70,4.761904761904762,0.30
7018,-1,0.70,9.523809523809524,0.30
7039,-1,0.55,76.19047619047619,0.45
7060,-1,0.80,100.0,0.20
7081,-1,0.50,100.0,0.50
7102,-1,0.75,100.0,0.25
7123,-1,0.80,100.0,0.20
7144,-1,0.75,100.0,0.25
7165,-1,0.85,100.0,0.15
7186,-1,0.85,100.0,0.15
7207,-1,0.85,100.0,0.15
7228,-1,0.75,100.0,0.25
7249,-1,0.60,100.0,0.40
7270,-1,0.75,100.0,0.25
7291,-1,0.75,100.0,0.25
7312,-1,0.90,100.0,0.10
7333,-1,0.80,100.0,0.20
7354,-1,0.85,100.0,0.15
7375,-1,0.60,100.0,0.40
7396,-1,0.85,100.0,0.15
7417,-1,0.75,100.0,0.25
7438,-1,0.65,100.0,0.35
7459,-1,0.70,100.0,0.30
7480,-1,0.75,100.0,0.25
7501,-1,0.85,100.0,0.15
7522,-1,0.65,100.0,0.35
7543,-1,0.60,100.0,0.40
7564,-1,0.65,100.0,0.35
7585,-1,0.90,100.0,0.10
7606,-1,0.65,100.0,0.35
7627,-1,0.75,100.0,0.25
7648,-1,0.70,100.0,0.30
7669,-1,0.75,100.0,0.25
7690,-1,0.60,100.0,0.40
7711,-1,0.80,100.0,0.20
7732,-1,0.75,100.0,0.25
7753,-1,0.60,100.0,0.40
7774,-1,0.70,100.0,0.30
7795,-1,0.65,100.0,0.35
7816,-1,0.70,100.0,0.30
7837,-1,0.70,100.0,0.30
7858,-1,0.85,100.0,0.15
7879,-1,0.80,100.0,0.20
7900,-1,0.60,61.904761904761905,0.40
7921,-1,0.80,4.761904761904762,0.20
7942,-1,0.70,23.809523809523807,0.30
7963,-1,0.85,42.857142857142854,0.15
7984,-1,0.70,100.0,0.30
8005,-1,0.75,100.0,0.25
8026,-1,0.65,100.0,0.35
8047,-1,0.70,100.0,0.30
8068,-1,0.75,100.0,0.25
8089,-1,0.80,100.0,0.20
8110,-1,0.75,100.0,0.25
8131,-1,0.85,100.0,0.15
8152,-1,0.75,100.0,0.25
8173,-1,0.65,100.0,0.35
8194,-1,0.65,100.0,0.35
8215,-1,0.60,100.0,0.40
8236,-1,0.70,100.0,0.30
8257,-1,0.90,100.0,0.10
8278,-1,0.80,100.0,0.20
8299,-1,0.65,100.0,0.35
8320,-1,0.80,100.0,0.20
8341,-1,0.65,100.0,0.35
8362,-1,0.85,100.0,0.15
8383,-1,0.80,100.0,0.20
8404,-1,0.80,100.0,0.20
8425,-1,0.80,100.0,0.20
8446,-1,0.65,100.0,0.35
8467,-1,0.75,100.0,0.25
8488,-1,0.55,100.0,0.45
8509,-1,0.70,100.0,0.30
8530,-1,0.85,100.0,0.15
8551,-1,0.65,100.0,0.35
8572,-1,0.50,100.0,0.50
8593,-1,0.85,100.0,0.15
8614,-1,0.70,100.0,0.30
8635,-1,0.70,100.0,0.30
8656,-1,0.70,100.0,0.30
8677,-1,0.70,100.0,0.30
8698,-1,0.70,100.0,0.30
8719,-1,0.85,100.0,0.15
8740,-1,0.85,100.0,0.15
8761,-1,0.75,100.0,0.25
8782,-1,0.80,100.0,0.20
8803,-1,0.80,80.95238095238095,0.20
8824,-1,0.75,61.904761904761905,0.25
8845,-1,0.85,47.61904761904761,0.15
8866,-1,0.95,80.95238095238095,0.05
8887,-1,0.80,100.0,0.20
8908,-1,0.65,71.42857142857143,0.35
8929,-1,0.95,38.095238095238095,0.05
8950,-1,0.70,90.47619047619048,0.30
8971,-1,0.85,52.38095238095239,0.15
8992,-1,0.70,80.95238095238095,0.30
9013,-1,0.85,100.0,0.15
9034,-1,0.85,76.19047619047619,0.15
9055,-1,0.80,100.0,0.20
9076,-1,0.50,95.23809523809523,0.50
9097,-1,0.85,85.71428571428571,0.15
9118,-1,0.65,90.47619047619048,0.35
9139,-1,0.65,90.47619047619048,0.35
