Current_Step,DQN Loss,Zero_Vectors_Ratio,Cumulative_Accuracy,Action_1_Ratio
3679,-1,0.80,100.0,0.20
3700,-1,0.15,100.0,0.85
3721,-1,0.00,100.0,1.00
3742,-1,0.00,100.0,1.00
3763,-1,1.00,100.0,0.00
3784,-1,0.00,100.0,1.00
3805,-1,0.00,100.0,1.00
3826,-1,0.15,90.47619047619048,0.85
3847,-1,0.80,19.047619047619047,0.20
3868,-1,0.00,100.0,1.00
3889,-1,0.00,90.47619047619048,1.00
3910,-1,0.35,80.95238095238095,0.65
3931,-1,0.60,100.0,0.40
3952,-1,0.00,100.0,1.00
3973,-1,0.00,100.0,1.00
3994,-1,0.55,100.0,0.45
4015,-1,0.40,100.0,0.60
4036,-1,0.00,100.0,1.00
4057,-1,0.00,100.0,1.00
4078,-1,0.75,100.0,0.25
4099,-1,0.20,100.0,0.80
4120,-1,0.00,100.0,1.00
4141,-1,0.00,100.0,1.00
4162,-1,0.95,100.0,0.05
4183,-1,0.00,100.0,1.00
4204,-1,0.00,100.0,1.00
4225,-1,0.10,100.0,0.90
4246,-1,0.85,100.0,0.15
4267,-1,0.00,100.0,1.00
4288,-1,0.00,100.0,1.00
4309,-1,0.30,100.0,0.70
4330,-1,0.65,100.0,0.35
4351,-1,0.00,100.0,1.00
4372,-1,0.00,100.0,1.00
4393,-1,0.50,100.0,0.50
4414,-1,0.45,100.0,0.55
4435,-1,0.00,100.0,1.00
4456,-1,0.00,100.0,1.00
4477,-1,0.70,100.0,0.30
4498,-1,0.25,100.0,0.75
4519,-1,0.00,100.0,1.00
4540,-1,0.00,100.0,1.00
4561,-1,0.90,100.0,0.10
4582,-1,0.05,100.0,0.95
4603,-1,0.00,100.0,1.00
4624,-1,0.05,100.0,0.95
4645,-1,0.90,100.0,0.10
4666,-1,0.00,100.0,1.00
4687,-1,0.00,100.0,1.00
4708,-1,0.25,100.0,0.75
4729,-1,0.70,100.0,0.30
4750,-1,0.00,95.23809523809523,1.00
4771,-1,0.00,100.0,1.00
4792,-1,0.45,100.0,0.55
4813,-1,0.50,100.0,0.50
4834,-1,0.00,100.0,1.00
4855,-1,0.00,100.0,1.00
4876,-1,0.65,100.0,0.35
4897,-1,0.30,76.19047619047619,0.70
4918,-1,0.00,90.47619047619048,1.00
4939,-1,0.00,100.0,1.00
4960,-1,0.85,100.0,0.15
4981,-1,0.10,100.0,0.90
5002,-1,0.00,100.0,1.00
5023,-1,0.00,100.0,1.00
5044,-1,0.95,100.0,0.05
5065,-1,0.00,100.0,1.00
5086,-1,0.00,61.904761904761905,1.00
5107,-1,0.20,85.71428571428571,0.80
5128,-1,0.75,100.0,0.25
5149,-1,0.00,100.0,1.00
5170,-1,0.00,100.0,1.00
5191,-1,0.40,100.0,0.60
5212,-1,0.55,100.0,0.45
5233,-1,0.00,100.0,1.00
5254,-1,0.00,100.0,1.00
5275,-1,0.60,100.0,0.40
5296,-1,0.35,100.0,0.65
