Current_Step,DQN Loss,Zero_Vectors_Ratio,Cumulative_Accuracy,Action_1_Ratio
3700,-1,1.00,100.0,0.00
3721,-1,1.00,100.0,0.00
3742,-1,1.00,100.0,0.00
3763,-1,1.00,100.0,0.00
3784,-1,1.00,100.0,0.00
3805,-1,1.00,100.0,0.00
3826,-1,0.75,76.19047619047619,0.25
3847,-1,0.25,95.23809523809523,0.75
3868,-1,0.20,95.23809523809523,0.80
3889,-1,0.25,90.47619047619048,0.75
3910,-1,0.40,80.95238095238095,0.60
3931,-1,1.00,100.0,0.00
3952,-1,1.00,100.0,0.00
3973,-1,1.00,100.0,0.00
3994,-1,1.00,100.0,0.00
4015,-1,1.00,100.0,0.00
4036,-1,1.00,100.0,0.00
4057,-1,1.00,100.0,0.00
4078,-1,0.75,100.0,0.25
4099,-1,0.80,100.0,0.20
4120,-1,1.00,100.0,0.00
4141,-1,1.00,100.0,0.00
4162,-1,1.00,100.0,0.00
4183,-1,1.00,100.0,0.00
4204,-1,1.00,100.0,0.00
4225,-1,1.00,100.0,0.00
4246,-1,1.00,100.0,0.00
4267,-1,1.00,100.0,0.00
4288,-1,1.00,100.0,0.00
4309,-1,1.00,100.0,0.00
4330,-1,1.00,100.0,0.00
4351,-1,1.00,100.0,0.00
4372,-1,1.00,100.0,0.00
4393,-1,1.00,100.0,0.00
4414,-1,1.00,100.0,0.00
4435,-1,1.00,100.0,0.00
4456,-1,1.00,100.0,0.00
4477,-1,1.00,100.0,0.00
4498,-1,1.00,100.0,0.00
4519,-1,1.00,100.0,0.00
4540,-1,1.00,100.0,0.00
4561,-1,1.00,100.0,0.00
4582,-1,1.00,100.0,0.00
4603,-1,1.00,100.0,0.00
4624,-1,1.00,100.0,0.00
4645,-1,1.00,100.0,0.00
4666,-1,1.00,100.0,0.00
4687,-1,1.00,100.0,0.00
4708,-1,1.00,100.0,0.00
4729,-1,1.00,100.0,0.00
4750,-1,1.00,80.95238095238095,0.00
4771,-1,0.25,100.0,0.75
4792,-1,0.55,100.0,0.45
4813,-1,0.40,100.0,0.60
4834,-1,0.50,95.23809523809523,0.50
4855,-1,0.55,95.23809523809523,0.45
4876,-1,0.55,100.0,0.45
4897,-1,0.15,85.71428571428571,0.85
4918,-1,0.65,90.47619047619048,0.35
4939,-1,1.00,100.0,0.00
4960,-1,1.00,100.0,0.00
4981,-1,1.00,100.0,0.00
5002,-1,1.00,100.0,0.00
5023,-1,1.00,100.0,0.00
5044,-1,1.00,100.0,0.00
5065,-1,1.00,100.0,0.00
5086,-1,0.70,85.71428571428571,0.30
5107,-1,0.80,85.71428571428571,0.20
5128,-1,1.00,100.0,0.00
5149,-1,1.00,100.0,0.00
5170,-1,1.00,100.0,0.00
5191,-1,1.00,100.0,0.00
5212,-1,1.00,100.0,0.00
5233,-1,1.00,100.0,0.00
5254,-1,1.00,100.0,0.00
5275,-1,1.00,100.0,0.00
5296,-1,1.00,100.0,0.00
5317,-1,1.00,100.0,0.00
5338,-1,1.00,100.0,0.00
5359,-1,1.00,100.0,0.00
